time,abs_active,accelerator_actual_position,accelerator_pedal_validity,advance_fuel_flow_estimate,bar_pressure_absolute_validity,barametric_absolute_pressure,boost_pressure_indication,brake_pedal_driver_applied_pressure_detected,brake_pedal_driver_applied_pressure_valid,brake_temperature_estimated,chassis_braking_load,commanded_air_fuel_ratio,cruise_control_active,cruise_control_enabled,cruise_control_selected_speed,day,distance_rolling_count_average_driven,distance_rolling_count_average_driven_source,distance_rolling_count_average_non_driven,distance_rolling_count_average_non_driven_reset,distance_rolling_count_average_non_driven_valid,distance_rolling_count_average_reset_occured,distance_rolling_count_average_valid,dop,driver_throttle_override_detected,elevation,engine_coolant_temp_validity,engine_coolant_temperature,engine_idle_active,engine_intake_temperature,engine_oil_pressure,engine_oil_temp,engine_run_active,engine_speed,engine_speed_status,engine_warmup_cycle_achieved,exhaust_pressue_regulator_valve_position,exhaust_pressue_regulator_valve_validity,fuel_consumption_rate,fuel_delivery_pressure_requested,fuel_level_percent,fuel_pressure_esimated_pressure_delivered,fuel_pump_enabled_descrete_output_status,fuel_system_estimated_pressue_valid,fuel_system_fault_present,gear_shift_direction,gps_speed,heading,hour,inst_fuel_flow_estimate,intake_temp_validity,latitude,latitude_valid,left_front_pressure,left_rear_pressure,legislated_diagnostics_conditions_fault_present,legislated_diagnostics_conditions_met,longitude,longitude_valid,minute,moderate_brake_achieved,month,outside_air_estimate_temp_mask,outside_air_estimate_temp_validity,outside_air_temperature_estimate,platform_brake_position,powertrain_brake_pedal_descrete_input_status,powertrain_brake_pedal_descrete_input_valid,powertrain_crank_aborted,powertrain_crank_active,powertrain_run_aborted,requested_gear,right_front_pressure,right_rear_pressure,second,skip_shift_active,speed_average_driven_valid,speed_average_driven_validity,speed_average_non_driven_valid,steering_wheel_angle,tcs_active,throttle_position,top_clutch_travel,total_fuel_capacity,trans_emissions_related_malfunction,trans_non_emissions_related_malfunction,trans_oil_change_now_indicator,trans_oil_temp,trans_oil_temp_present,trans_oil_temp_valid,trans_thermal_management_status,transmission_commanded_gear,transmission_estimated_gear,transmission_torque_converter_clutch_mode,vdcs_active,vdcs_understeer_active,vdcs_understeer_valid,vdcs_yaw_rate_valid,vehicle_average_speed_soruce,vehicle_dynamics_yaw_rate,vehicle_speed_average_non_driven_validity,vehicle_stability_lateral_acceleration,vehicle_stability_lateral_acceleration_valid,x_webmercator,y_webmercator,year,accel,lat_g,long_g
00:03:12.766000,0.0,10.222056,0.0,1.1953125,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,32.96875,0.0,33.4375,0.0,0.0,0.0,0.0,39.95,0.875,154.5,0.0,57.0,0.0,22.0,360.0,-40.0,1.0,1090.96875,0.0,0.0,0.0,0.0,15.202777777777778,250.0,48.51965,249.9090909090909,1.0,0.0,0.0,0.0,9.5,87.5,0.0,1.263671875,0.0,32.79185208021,0.0,30.1704,29.590200000000003,0.0,0.0,-117.09255519548302,0.0,4.0,0.0,11.0,1.0,0.0,77.0,1.179468,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,13.0,0.0,6.390625,0.0,6.56640625,-181.76388888888889,1.0,26.909344,0.0,68.125,0.0,0.0,0.0,25.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-13034683.618230008,3867708.2864253754,2017.0,0.6429041601562501,0.0,0.06553559226873089
00:03:14.766000,0.0,0.0,0.0,0.6754261363636364,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,38.0625,0.0,38.625,0.0,0.0,0.0,0.0,78.30000000000001,0.0,209.5,0.0,57.0,0.0,22.0,360.0,-40.0,1.0,661.4722222222222,0.0,0.0,0.0,0.0,17.508333333333333,250.0,48.412699999999994,249.0,1.0,0.0,0.0,0.0,11.0,178.5,0.0,0.6720525568181818,0.0,32.791905828705,0.0,30.1704,29.590200000000003,0.0,0.0,-117.09255144549351,0.0,4.0,0.0,11.0,1.0,0.0,77.0,10.615212,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,17.0,0.0,11.265625,0.0,11.1953125,51.482142857142854,1.0,29.421174,0.0,68.125,0.0,0.0,0.0,25.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-13034683.200783085,3867715.403896647,2017.0,0.6429041601562501,0.0,0.06553559226873089
00:03:16.766000,0.0,12.286124999999998,0.0,0.7421875,0.0,100.5,0.0,0.3,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,49.25,0.0,49.8,0.0,0.0,0.0,0.0,65.80000000000001,0.75,200.5,0.0,58.0,0.0,22.0,360.0,-40.0,1.0,653.9791666666666,0.0,0.0,0.0,0.0,19.813888888888886,250.0,48.305749999999996,248.85714285714286,1.0,0.0,0.0,0.0,8.5,30.5,0.0,0.675048828125,0.0,32.79194763309,0.0,30.1704,29.590200000000003,0.0,0.0,-117.09253963997101,0.0,4.0,0.0,11.0,1.0,0.0,77.0,9.766822736842096,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,21.0,0.0,18.1125,0.0,18.0,158.53125,1.0,31.933004000000004,0.0,68.125,0.0,0.0,0.0,25.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-13034681.88659833,3867720.939710537,2017.0,0.9450962421875001,0.0,0.09634008584989807
00:03:18.766000,0.0,30.96103500000001,0.0,3.4166666666666665,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,60.4375,0.0,60.975,0.0,0.0,0.0,0.0,27.25,1.0,117.5,0.0,58.0,0.0,22.0,360.0,-40.0,1.0,1811.8541666666667,0.0,0.0,0.0,0.0,22.119444444444444,250.0,48.1988,250.42857142857142,1.0,0.0,0.0,0.0,11.0,152.0,0.0,3.4840494791666665,0.0,32.791989437474996,0.0,30.1704,29.590200000000003,0.0,0.0,-117.0925100567205,0.0,4.0,0.0,11.0,1.0,0.0,77.0,1.2257216470588237,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,25.0,0.0,24.959375,0.0,24.8046875,221.01785714285714,1.0,34.444834,0.0,68.125,0.0,0.0,0.0,25.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-13034678.59340595,3867726.475527253,2017.0,0.9450962421875001,0.0,0.09634008584989807
00:03:20.766000,0.0,35.2342662857143,0.0,5.232638888888889,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,71.625,0.0,72.15,0.0,0.0,0.0,0.0,40.050000000000004,1.0,240.5,0.0,58.0,0.0,22.0,360.0,-40.0,1.0,2051.059523809524,0.0,0.0,0.0,0.0,24.425,250.0,48.09185,250.6,1.0,0.0,0.0,0.0,23.5,151.5,0.0,5.179253472222222,0.0,32.792036797259996,0.0,30.1704,29.590200000000003,0.0,0.0,-117.0923975570355,0.0,4.0,0.0,11.0,1.0,0.0,77.0,1.2598862727272726,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,29.0,0.0,31.80625,0.0,31.609375,71.79807692307692,1.0,36.956664,0.0,68.125,0.0,0.0,0.0,25.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-13034666.069998302,3867732.7470035,2017.0,0.9450962421875001,0.0,0.09634008584989807
00:03:22.766000,0.0,37.742976000000006,0.0,6.0296875,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,82.8125,0.0,83.325,0.0,0.0,0.0,0.0,27.1,1.0,61.0,0.0,58.0,0.0,21.0,360.0,-40.0,1.0,2210.846153846154,0.0,0.0,0.0,0.0,29.525000000000002,250.0,47.984899999999996,249.5,1.0,0.0,0.0,0.3333333333333333,37.0,133.5,0.0,5.97890625,0.0,32.792036936144996,0.0,30.1704,29.590200000000003,0.0,0.0,-117.09218394652251,0.0,4.0,0.0,11.0,1.0,0.0,77.0,1.271975294117647,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,33.0,0.0,38.653125,0.0,38.4140625,5.583333333333333,1.0,38.136132,0.0,68.125,0.0,0.0,0.0,25.121951219512194,1.0,0.0,0.0,2.8333333333333335,2.5,0.0,0.0,0.0,0.0,49.90909090909091,0.0,0.21022727272727273,0.0,-0.05965909090909091,0.36363636363636365,-13034642.290984772,3867732.765394916,2017.0,0.9450962421875001,-0.006081456769530164,0.09634008584989807
00:03:24.766000,0.0,37.808502,0.0,6.016927083333333,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,94.0,0.0,94.5,0.0,0.0,0.0,0.0,1.5,1.0,218.0,0.0,58.42857142857143,0.0,20.714285714285715,360.0,-40.0,1.0,2218.7916666666665,0.0,0.0,0.0,0.0,29.975,250.0,47.87795,249.86666666666667,1.0,0.0,0.0,0.0,46.0,138.5,0.0,6.025553385416667,0.0,32.79202596422999,0.0,30.073700000000002,29.590200000000003,0.0,0.0,-117.09191741949101,0.0,4.0,0.0,11.0,1.0,0.0,77.0,1.244994,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,37.0,0.0,45.5,0.0,45.21875,0.3,1.0,38.529288,0.0,68.125,0.0,0.0,0.0,25.24390243902439,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,146.0952380952381,0.0,-0.011904761904761904,0.0,-0.14285714285714285,0.0,-13034612.621331345,3867731.31247193,2017.0,0.9450962421875001,-0.014562399883500799,0.09634008584989807
00:03:26.766000,0.0,36.17035199999999,0.0,5.747395833333333,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,124.02083333333333,0.0,124.39583333333333,0.0,0.0,0.0,0.0,39.900000000000006,1.0,75.0,0.0,58.857142857142854,0.0,20.428571428571427,360.0,-40.0,1.0,2357.467391304348,0.0,0.0,0.0,0.0,26.933333333333334,250.0,47.771,249.53333333333333,1.0,0.0,0.0,0.5,53.5,135.5,0.0,5.72900390625,0.0,32.79201777001499,0.0,29.977,29.590200000000003,0.0,0.0,-117.091610198129,0.0,4.0,0.0,11.0,1.0,0.0,77.0,1.354204,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,41.0,0.0,51.098958333333336,0.0,50.846354166666664,0.125,1.0,37.34982,0.0,68.125,0.0,0.0,0.0,25.365853658536587,1.0,0.0,0.0,3.5,3.0,0.0,0.0,0.0,0.0,116.76923076923077,0.0,-0.08653846153846154,0.0,-0.21754807692307693,0.0,-13034578.421605773,3867730.2273776606,2017.0,0.7816123151041664,-0.02217615463028307,0.07967505760490992
00:03:28.766000,0.0,35.70781552941177,0.0,5.246875,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,154.04166666666666,0.0,154.29166666666666,0.0,0.0,0.0,0.0,52.7,1.0,170.5,0.0,59.285714285714285,0.0,20.142857142857142,360.0,-40.0,1.0,2111.4117647058824,0.0,0.0,0.0,0.0,23.89166666666667,250.0,47.66405,249.6153846153846,1.0,0.0,0.0,0.5833333333333333,58.0,136.5,0.0,5.037890625,0.0,32.792011381305,0.0,29.880300000000002,29.590200000000003,0.0,0.0,-117.09127394907051,0.0,4.0,0.0,11.0,1.0,0.0,77.0,1.3581752727272727,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,45.0,0.0,56.697916666666664,0.0,56.473958333333336,0.46875,1.0,36.170352,0.0,68.125,0.0,0.0,0.0,25.48780487804878,1.0,0.0,0.0,4.083333333333334,3.5,0.0,0.0,0.0,0.0,85.33333333333333,0.0,0.0,0.0,-0.0859375,0.0,-13034540.990531806,3867729.3813720304,2017.0,0.7816123151041674,-0.00876019367991845,0.07967505760491003
00:03:30.766000,0.0,33.066488842105265,0.0,4.65625,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,10.0,184.0625,0.0,184.1875,0.0,0.0,0.0,0.0,52.7,1.0,102.5,0.0,59.714285714285715,0.0,19.857142857142858,360.0,-40.0,1.0,1920.8552631578948,0.0,0.0,0.0,0.0,20.85,250.0,47.5571,249.5,1.0,0.0,0.0,0.6666666666666666,62.0,137.0,0.0,4.4912109375,0.0,32.792007492525,0.0,29.783600000000003,29.590200000000003,0.0,0.0,-117.0909133945245,0.0,4.0,0.0,11.0,1.0,0.0,77.0,1.2580992000000002,0.0,0.0,0.0,0.0,0.0,0.0,29.590200000000003,29.01,49.0,0.0,62.296875,0.0,62.1015625,0.3645833333333333,1.0,34.990884,0.0,68.125,0.0,0.0,0.0,25.609756097560975,1.0,0.0,0.0,4.666666666666667,4.0,0.0,0.0,0.0,0.0,80.6875,0.0,0.04296875,0.0,-0.091796875,0.0,-13034500.853783347,3867728.8664121116,2017.0,0.7816123151041664,-0.009357479612640163,0.07967505760490992
