time,abs_active,accelerator_actual_position,accelerator_pedal_validity,advance_fuel_flow_estimate,bar_pressure_absolute_validity,barametric_absolute_pressure,boost_pressure_indication,brake_pedal_driver_applied_pressure_detected,brake_pedal_driver_applied_pressure_valid,brake_temperature_estimated,chassis_braking_load,commanded_air_fuel_ratio,cruise_control_active,cruise_control_enabled,cruise_control_selected_speed,distance_rolling_count_average_driven,distance_rolling_count_average_driven_source,distance_rolling_count_average_non_driven,distance_rolling_count_average_non_driven_reset,distance_rolling_count_average_non_driven_valid,distance_rolling_count_average_reset_occured,distance_rolling_count_average_valid,driver_throttle_override_detected,engine_coolant_temp_validity,engine_coolant_temperature,engine_idle_active,engine_intake_temperature,engine_oil_pressure,engine_oil_temp,engine_run_active,engine_speed,engine_speed_status,engine_warmup_cycle_achieved,exhaust_pressue_regulator_valve_position,exhaust_pressue_regulator_valve_validity,fuel_consumption_rate,fuel_delivery_pressure_requested,fuel_level_percent,fuel_pressure_esimated_pressure_delivered,fuel_pump_enabled_descrete_output_status,fuel_system_estimated_pressue_valid,fuel_system_fault_present,gear_shift_direction,inst_fuel_flow_estimate,intake_temp_validity,left_front_pressure,left_rear_pressure,legislated_diagnostics_conditions_fault_present,legislated_diagnostics_conditions_met,moderate_brake_achieved,outside_air_estimate_temp_mask,outside_air_estimate_temp_validity,outside_air_temperature_estimate,platform_brake_position,powertrain_brake_pedal_descrete_input_status,powertrain_brake_pedal_descrete_input_valid,powertrain_crank_aborted,powertrain_crank_active,powertrain_run_aborted,requested_gear,right_front_pressure,right_rear_pressure,speed_average_driven_valid,speed_average_driven_validity,speed_average_non_driven_valid,steering_wheel_angle,tcs_active,throttle_position,total_fuel_capacity,trans_emissions_related_malfunction,trans_non_emissions_related_malfunction,trans_oil_change_now_indicator,trans_oil_temp,trans_oil_temp_present,trans_oil_temp_valid,trans_thermal_management_status,transmission_commanded_gear,transmission_estimated_gear,vdcs_active,vdcs_understeer_active,vdcs_understeer_valid,vdcs_yaw_rate_valid,vehicle_average_speed_soruce,vehicle_dynamics_yaw_rate,vehicle_speed_average_non_driven_validity,vehicle_stability_lateral_acceleration,vehicle_stability_lateral_acceleration_valid,accel,lat_g,long_g
00:02:19.813000,0.0,0.0,0.0,0.7380022321428571,0.0,100.5,0.0,1.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,5.65625,0.0,5.4375,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,23.0,348.0,-40.0,1.0,655.05625,0.0,0.0,0.0,0.0,3.85,250.0,64.3126,249.55882352941177,1.0,0.0,0.0,0.0,0.7335030691964286,0.0,26.5,26.5,0.0,0.0,0.0,1.0,0.0,83.0,27.77042284615387,0.0,0.0,0.0,0.0,0.0,0.0,26.36111111111111,26.0,3.82421875,0.0,3.80859375,-15.389285714285714,1.0,14.546772,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26801236718750004,0.0,0.027320322852956172
00:02:20.813000,0.0,0.0,0.0,0.7340856481481481,0.0,100.5,0.0,1.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,6.6875,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.14285714285714285,23.0,348.0,-40.0,1.0,656.6428571428571,0.0,0.0,0.0,0.0,4.2,250.0,64.3126,249.8108108108108,1.0,0.0,0.0,0.0,0.7441767939814815,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,29.775549306122457,0.0,0.0,0.0,0.0,0.0,0.0,,,3.78125,0.0,3.7578125,-14.528571428571428,1.0,14.546772,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0141059140625,0.0,-0.0014379117291029562
00:02:21.813000,0.0,0.0,0.0,0.7327586206896551,0.0,100.5,0.0,1.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,7.541666666666667,0.0,7.375,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,23.0,344.0,-40.0,1.0,647.1011904761905,0.0,0.0,0.0,0.0,3.3375000000000004,250.0,64.3126,249.94117647058823,1.0,0.0,0.0,0.0,0.7231276939655172,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,30.510543750000007,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0625,0.0,3.0677083333333335,-12.761029411764707,1.0,14.153616,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.19169575520833332,0.0,-0.01954085170319402
00:02:22.813000,0.0,0.0,0.0,0.7351831896551724,0.0,100.5,0.0,1.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,8.3125,0.0,8.125,0.0,0.0,0.0,0.0,0.0,0.0,45.5,0.0,23.0,344.0,-40.0,1.0,650.7302631578947,0.0,0.0,0.0,0.0,3.625,250.0,64.18188333333333,249.22857142857143,1.0,0.0,0.0,0.0,0.7311422413793104,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,29.205874285714316,0.0,0.0,0.0,0.0,0.0,0.0,,,2.66015625,0.0,2.62890625,-2.889705882352941,1.0,14.153616,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.12188956510416672,0.0,-0.012425032120710165
00:02:23.813000,0.0,0.0,0.0,0.7338362068965517,0.0,100.5,0.0,1.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,8.958333333333334,0.0,8.791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,23.0,344.0,-40.0,1.0,649.08125,0.0,0.0,0.0,0.0,3.7500000000000004,250.0,64.05116666666667,249.28205128205127,1.0,0.0,0.0,0.0,0.7329943426724138,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,28.558851840000006,0.0,0.0,0.0,0.0,0.0,0.0,,,2.8854166666666665,0.0,2.8385416666666665,2.9054054054054053,1.0,14.153616,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0582321067708333,0.0,0.005935994573989123
00:02:24.813000,0.0,0.0,0.0,0.7381365740740741,0.0,100.5,0.0,1.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,9.90625,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,23.0,344.0,-40.0,1.0,651.0,0.0,0.0,0.0,0.0,3.6374999999999997,250.0,63.92045,249.6,1.0,0.0,0.0,0.0,0.7375217013888888,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,28.664646545454534,0.0,0.0,0.0,0.0,0.0,0.0,,,3.21484375,0.0,3.1953125,7.995967741935484,1.0,14.350194000000002,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09910308854166672,0.0,0.010102251635236158
00:02:25.813000,0.0,0.0,0.0,0.7405711206896551,0.0,100.5,0.0,1.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,11.041666666666666,0.0,10.916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,23.0,344.0,-40.0,1.0,656.1081081081081,0.0,0.0,0.0,0.0,3.6,250.0,63.92045,249.96969696969697,1.0,0.0,0.0,0.0,0.743231411637931,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,25.42408800000001,0.0,0.0,0.0,0.0,0.0,0.0,,,4.223958333333333,0.0,4.197916666666667,12.940972222222221,1.0,14.546771999999999,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2785013802083334,0.0,0.028389539266904528
00:02:26.813000,0.0,0.0,0.0,0.7335379464285714,0.0,100.5,0.0,1.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,12.375,0.0,12.1875,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,23.0,344.0,-40.0,1.0,653.296511627907,0.0,0.0,0.0,0.0,3.65,250.0,63.92045,249.76923076923077,1.0,0.0,0.0,0.0,0.7430594308035714,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,27.149605999999995,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0546875,0.0,5.0625,85.3125,1.0,14.41572,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2401622291666666,0.0,0.024481368926265706
00:02:27.813000,0.0,0.0,0.0,0.73984375,0.0,100.5,0.0,0.8947368421052632,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,13.5,0.0,13.3125,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0,23.0,344.0,-40.0,1.0,649.65,0.0,0.0,0.0,0.0,3.6750000000000003,250.0,63.92045,249.27027027027026,1.0,0.0,0.0,0.0,0.7379231770833333,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,28.20894299999999,0.0,0.0,0.0,0.0,0.0,0.0,,,4.68359375,0.0,4.8515625,224.8125,1.0,14.546771999999999,68.125,0.0,0.0,0.0,24.5,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05859379687500001,0.0,-0.005972864105504587
00:02:28.813000,0.0,0.0,0.0,0.7537615740740741,0.0,100.5,0.0,0.25,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,14.875,0.0,14.75,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,23.0,344.0,-40.0,1.0,647.6410256410256,0.0,0.0,0.0,0.0,3.7000000000000006,250.0,63.92045,249.88235294117646,1.0,0.0,0.0,0.0,0.7461299189814815,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,21.4073442,0.0,0.0,0.0,0.0,0.0,0.0,,,4.286458333333333,0.0,4.479166666666667,271.9298780487805,1.0,14.41572,68.125,0.0,0.0,0.0,24.75,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1034433697916666,0.0,-0.010544686013421671
00:02:29.813000,0.0,0.0,0.0,0.7496995192307693,0.0,100.5,0.0,0.6153846153846154,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,16.0625,0.0,15.9375,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,23.0,344.6666666666667,-40.0,1.0,656.7307692307693,0.0,0.0,0.0,0.0,3.6375,250.0,63.92045,250.11428571428573,1.0,0.0,0.0,0.0,0.7582632211538461,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,25.01713705263159,0.0,0.0,0.0,0.0,0.0,0.0,,,3.515625,0.0,3.765625,279.50714285714287,1.0,14.546772,68.125,0.0,0.0,0.0,25.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.19820617708333343,0.0,-0.020204503270472317
00:02:30.813000,0.0,0.0,0.0,0.7428385416666666,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,17.25,0.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,23.0,345.3333333333333,-40.0,1.0,658.4015151515151,0.0,0.0,0.0,0.0,4.3125,250.0,63.92045,249.1904761904762,1.0,0.0,0.0,0.0,0.7533772786458334,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,9.373666736842107,0.0,0.0,0.0,0.0,0.0,0.0,,,4.3359375,0.0,4.484375,278.8173076923077,1.0,14.546772,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19965293750000002,0.0,0.02035198139653415
00:02:31.813000,0.0,0.0,0.0,0.7361391129032258,0.0,100.5,0.0,0.0,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,18.125,0.0,18.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,23.0,346.0,-40.0,1.0,646.8,0.0,0.0,0.0,0.0,3.4333333333333336,250.0,63.92045,249.5,1.0,0.0,0.0,0.0,0.7417149697580645,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,1.4333812499999998,0.0,0.0,0.0,0.0,0.0,0.0,,,4.239583333333333,0.0,4.635416666666667,341.75,1.0,14.284668000000002,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04195605208333342,0.0,0.0042768656557934165
00:02:32.813000,0.0,0.0,0.0,0.7545362903225806,0.0,100.5,0.0,0.08695652173913043,0.0,-40.0,0.0,14.67822265625,0.0,0.0,0.0,19.225,0.0,19.475,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,23.0,348.0,-40.0,1.0,647.5147058823529,0.0,0.0,0.0,0.0,3.45625,250.0,63.92045,249.9,1.0,0.0,0.0,0.0,0.7527406754032258,0.0,,,0.0,0.0,0.0,1.0,0.0,83.0,4.784634339622641,0.0,0.0,0.0,0.0,0.0,0.0,,,4.14375,0.0,4.684375,392.9527027027027,1.0,14.546772,68.125,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013599547916666635,0.0,0.0013862943849813083
